country,ari,tbprev
Cambodia,2.06,269
China,1.1,187
China,1,134
China,0.7,110
Philippines,2.5,660
Philippines,2.3,310
South Korea,5.3,668
South Korea,3.9,559
South Korea,2.3,480
South Korea,1.8,309
South Korea,1.2,239
South Korea,1.1,143
South Korea,0.5,93
Kenya,1.1,132
Tanzania,0.9,172
Tanzania,0.68,214
Malawi,1,248
Madagascar,1.2,145
Egypt,0.3,24
Laos,1.1,165
India,1.5,155
South Korea,1.78,480
South Korea,1.24,310
South Korea,1.12,240
South Korea,0.6,144
China,0.64,187
China,0.59,156
China,0.64,134
China,0.7,121
Philippines,2.48,950
Philippines,2.3,525